shortlist_rank,research_rank,asset_id,ticker,company_name,exchange,cik,experimental_score,score_bucket_38k,shortlist_bucket,candidate_matrix_status,evidence_level,inclusion_reason,positive_drivers,risk_drivers,evidence_summary,research_explanation,next_research_steps,recommendation_generated,financial_advice,broker_actions_allowed,phase9c_authorized,phase
11,11,U00592,CFFN,"Capitol Federal Financial, Inc. - Common Stock",NASDAQ,0001490906,77.9125,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 11 with experimental score 77.9125.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 11 and experimental score 77.9125. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: balance-sheet risk flag. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
12,12,U00170,AMGN,Amgen Inc. - Common Stock,NASDAQ,0000318154,77.8635,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 12 with experimental score 77.8635.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 12 and experimental score 77.8635. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
13,13,U00390,BIIB,Biogen Inc. - Common Stock,NASDAQ,0000875045,77.6929,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 13 with experimental score 77.6929.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 13 and experimental score 77.6929. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
14,14,U00054,ADEA,Adeia Inc. - Common Stock,NASDAQ,0001803696,77.2821,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 14 with experimental score 77.2821.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility; risk/liquidity component below 55,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 14 and experimental score 77.2821. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: high 6m volatility; risk/liquidity component below 55. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
15,15,U00011,AAPL,Apple Inc. - Common Stock,NASDAQ,0000320193,76.5883,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 15 with experimental score 76.5883.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 15 and experimental score 76.5883. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: balance-sheet risk flag. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
16,16,U00519,CARE,"Carter Bankshares, Inc. - Common Stock",NASDAQ,0001829576,76.2259,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 16 with experimental score 76.2259.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 16 and experimental score 76.2259. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: balance-sheet risk flag. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
17,17,U00169,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,0000002488,76.1559,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 17 with experimental score 76.1559.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 17 and experimental score 76.1559. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: high 6m volatility. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
18,18,U00214,APPF,"AppFolio, Inc. - Class A Common Stock",NASDAQ,0001433195,75.9668,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 18 with experimental score 75.9668.,positive revenue growth; positive profitability/FCF signal,large 12m drawdown,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 18 and experimental score 75.9668. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal. Risk checks: large 12m drawdown. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
19,19,U00497,BZ,KANZHUN LIMITED - American Depository Shares,NASDAQ,0001842827,75.8547,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 19 with experimental score 75.8547.,positive revenue growth; positive profitability/FCF signal,large 12m drawdown,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 19 and experimental score 75.8547. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal. Risk checks: large 12m drawdown. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
20,20,U00379,BGC,"BGC Group, Inc. - Class A Common Stock",NASDAQ,0001094831,75.4173,INVESTIGATE_HIGH,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,high,High-priority research candidate from v2.38K technical rank 20 with experimental score 75.4173.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_high_priority research shortlist item because its complete local evidence row received v2.38K technical rank 20 and experimental score 75.4173. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
21,21,U00251,ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",NASDAQ,0000879407,74.9964,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 21 with experimental score 74.9964.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 21 and experimental score 74.9964. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: high 6m volatility. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
22,22,U00591,CFFI,C&F Financial Corporation - Common Stock,NASDAQ,0000913341,74.823,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 22 with experimental score 74.823.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 22 and experimental score 74.823. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: balance-sheet risk flag. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
23,23,U00165,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,0000006951,74.6014,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 23 with experimental score 74.6014.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 23 and experimental score 74.6014. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: large 12m drawdown; high 6m volatility; risk/liquidity component below 55. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
24,24,U00599,CGNX,Cognex Corporation - Common Stock,NASDAQ,0000851205,74.5113,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 24 with experimental score 74.5113.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 24 and experimental score 74.5113. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
25,25,U00606,CHCI,"Comstock Holding Companies, Inc. - Class A Common Stock",NASDAQ,0001299969,74.3267,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 25 with experimental score 74.3267.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 25 and experimental score 74.3267. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: large 12m drawdown; high 6m volatility; risk/liquidity component below 55. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
26,26,U00312,AVPT,"AvePoint, Inc. - Class A Common Stock",NASDAQ,0001777921,74.2054,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 26 with experimental score 74.2054.,positive revenue growth; positive profitability/FCF signal; positive price trend,large 12m drawdown,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 26 and experimental score 74.2054. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend. Risk checks: large 12m drawdown. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
27,27,U00372,BELFB,Bel Fuse Inc. - Class B Common Stock,NASDAQ,0000729580,74.1486,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 27 with experimental score 74.1486.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 27 and experimental score 74.1486. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: high 6m volatility. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
28,28,U00086,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,0001820953,73.5754,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 28 with experimental score 73.5754.,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 28 and experimental score 73.5754. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal. Risk checks: large 12m drawdown; high 6m volatility; risk/liquidity component below 55. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
