asset_id,ticker,action_sequence,required_action,action_description,action_status,network_allowed,scraping_allowed,api_allowed
U37483,LIN,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37484,CSA,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37484,CSA,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37484,CSA,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37485,J7Z,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37485,J7Z,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37485,J7Z,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37486,8AK,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37486,8AK,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37486,8AK,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37487,3EC,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37487,3EC,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37487,3EC,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37488,WTY,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37488,WTY,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37488,WTY,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37489,60A,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37489,60A,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37489,60A,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37490,2IS,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37490,2IS,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37490,2IS,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37491,847,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37491,847,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37491,847,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37492,4VK,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37492,4VK,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37492,4VK,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37493,2M6,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37493,2M6,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37493,2M6,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37494,TYIA,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37494,TYIA,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37494,TYIA,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
U37495,RY4C,1,confirm_real_company_identity,"company_name_source_value is inherited from the Deutsche Boerse Xetra all-tradable-instruments feed used since v2.38C/v2.38N and is a known placeholder, not a verified company name. Confirm the real legal entity name from an authoritative source before any further action.",PENDING_HUMAN_ACTION,false,false,false
U37495,RY4C,2,confirm_isin_or_national_registration_number,No ISIN or Irish company registration number has been resolved for this asset in any prior phase. Confirm one from an authoritative source before selecting a fundamentals route.,PENDING_HUMAN_ACTION,false,false,false
U37495,RY4C,3,determine_fundamentals_route_registry_or_provider,"Euronext Dublin (XDUB) has no confirmed official-registry route (unlike XLON/GB or XMAD/ES, see v2.38S) or provider-API route (unlike XETR/XPAR/etc., see v2.38Q) in this project yet. Once identity is confirmed, decide whether to route this asset to an official registry (e.g. Ireland's Companies Registration Office) or to the existing provider-API pilot.",PENDING_HUMAN_ACTION,false,false,false
